mrun,distancia1,distancia2,distancia3,distancia4,p_prioritario1,p_prioritario2,p_prioritario3,p_prioritario4,simce_lect1,simce_lect2,simce_lect3,simce_lect4,simce_mate1,simce_mate2,simce_mate3,simce_mate4,cod_nivel,prioridad_hermano,es_mujer,prioritario,alto_rendimiento,convenio_pie,municipal,tipo
24223754,.8476541385813671,2.033025797438079,2.08611926966761,.2066941767073534,0,0,0,0,260,287,274,222,262,330,284,224,9,0,0,0,1,0,1,2
24323311,1.933442865172232,2.175648121259162,.2493717015147677,13.66771126871073,.15476191,.15000001,0,.15000001,322,311,242,292,350,351,272,337,7,0,0,0,1,0,0,1
24563819,1.246851811763905,1.839063880415544,.6418785239713374,5.820577751456712,0,0,0,0,241,328,268,256,288,374,291,302,8,0,0,0,0,1,1,4
24573953,1.622042388265552,1.886527256165937,1.406691888444154,1.80122368610333,0,.15789473,0,0,288,287,269,550,308,330,285,550,7,0,1,0,1,0,1,2
24770553,4.938647393520792,5.541546843945508,3.845346888560196,6.309682874388406,0,.15000001,0,.15000001,226,217,550,220,249,211,550,218,9,0,0,1,0,1,1,4
24864746,4.717091082452006,4.060796871580386,.5043699315642973,5.318941341504846,0,.15333334,0,0,297,328,273,294,301,374,309,327,7,0,1,1,0,1,1,4
24867875,3.859563616053588,20.87027464846033,.8492394934716661,3.595758382774881,0,0,0,0,273,259,240,200,314,260,281,196,10,0,0,0,0,0,0,1
25166094,1.03067965519297,.611348337220554,.4497802730971637,.656697316829756,0,0,0,0,256,550,550,550,257,550,550,550,1,1,0,1,0,0,1,2
25457246,.2446332476180278,.2496920463177641,.1560226665231839,.265906694427437,0,.15909091,0,0,278,231,260,550,299,224,302,550,7,0,1,1,1,1,0,3
25479944,2.528428591597058,.6819919970345342,8.083826114999452,2.188029832017182,.15238096,.06666667,.15111111,.15000001,244,259,226,221,245,260,228,204,9,0,0,0,0,0,1,2
25480019,7.009195982932382,6.214073347493427,8.304730357702947,8.747218552479548,.15000001,0,0,0,265,297,243,214,304,313,240,253,9,0,0,1,0,0,0,1
25539657,2.298176460068801,1.948819439155838,1.873333987931212,6.78422090249026,.15000001,0,0,0,244,550,550,550,265,550,550,550,0,0,1,0,0,0,1,2
25550663,1.225123913034183,3.819458251030478,3.839104946803255,1.764743235046998,0,0,0,0,261,219,260,217,278,213,302,213,9,0,0,1,0,1,1,4
25571748,1.1513234282757,.8475310003456096,.8362902744276006,6.338553086030816,0,0,0,0,550,219,550,550,550,213,550,550,3,0,1,1,1,1,0,3
25580818,1.370605077954344,2.006836138044215,1.424604389938821,.2843944298214791,.028571429,.15333334,.022222223,0,241,328,271,550,269,374,277,550,7,0,1,0,1,0,1,2
25601270,.8608883665730568,.3037773458861416,.5613540917742532,1.64095141336189,0,0,0,0,244,550,550,550,265,550,550,550,5,0,1,0,1,0,1,2
25606992,1.215801426613284,1.612677621404667,1.267739221363615,.5666722352750917,0,.15555556,0,0,260,262,229,550,278,259,240,550,7,0,1,0,1,0,1,2
25772968,1.698383825139094,.5887683127470893,.8248006567063015,1.424717338662751,.16666667,.15384616,.15000001,.15625,550,550,550,550,550,550,550,550,-1,0,0,0,0,0,1,2
25809881,1.245229671509527,4.596721481375658,1.031212769403259,1.021618978337821,.15315315,.06666667,0,.15151516,213,259,248,226,229,260,245,222,9,0,1,0,1,1,0,3
25826446,.7965432368139822,.8023762810371832,1.085459127780903,2.375376990126893,0,0,0,0,550,550,270,550,550,550,334,550,1,0,1,0,0,1,1,4
25838152,1.001318809579301,.4927307637909959,.7586508190977292,2.139273711796163,0,0,0,0,550,550,550,550,550,550,550,550,6,0,0,0,1,0,1,2
25893516,1.517031512773925,.487896440044385,.7546420736548363,4.558813267505951,.1,0,0,0,550,550,550,550,550,550,550,550,0,0,0,0,0,0,1,2
25942162,.5104027113624332,2.183866048310384,.9354090597942318,.6877645623755508,.15384616,.2,.17142858,.17142858,262,550,550,217,319,550,550,207,-1,1,0,1,0,1,1,4
25977586,2.754521117106166,4.552009736538434,.4491136189975471,.061069593321636,0,0,0,0,228,328,237,219,248,374,256,239,10,0,0,1,1,0,1,2
26030896,2.318305319738535,3.789422323641702,1.149854129222979,1.531760419214482,.16666667,.2,.21428572,.15714286,271,228,550,201,306,207,550,213,-1,0,0,0,0,0,0,1
26050395,.4637406713046054,3.423117803627019,.2863436336377532,1.159553523851627,0,0,.02631579,0,257,219,281,221,310,213,289,204,11,0,0,0,1,0,0,1
26082064,.3610899587101214,4.690532392979977,1.418045791327312,.4530898063787855,0,0,0,0,550,550,273,550,550,550,301,550,1,0,1,0,0,0,0,1
26084265,.8213048522671291,.5619780073184414,.1813838030642131,.9556760068998403,0,.12142857,.15111111,0,550,257,225,221,550,248,244,222,9,0,1,0,1,0,0,1
26111017,10.20739564929176,5.854822875953539,24.34079358854612,5.798004703083638,0,0,0,0,272,303,234,550,282,326,222,550,8,0,0,0,0,0,1,2
26129348,1.4734821579193,3.043072752607456,2.470721568187394,3.80182475467,0,.15333334,0,0,245,328,253,296,273,374,280,333,7,0,0,1,1,1,1,4
26130582,7.761640973441208,.7287439297741167,1.251244517948561,1.291580807345375,0,0,0,0,237,235,270,212,232,226,334,211,10,0,1,0,1,0,1,2
26146377,2.660822387888065,2.128904876390656,4.287185298514669,2.487020788335128,0,.15000001,0,.15000001,257,217,236,220,295,211,232,236,9,0,1,0,1,1,1,4
26153495,.8048402939998452,26.06847319248444,.5464455495434593,1.456901783204853,0,0,0,0,550,286,273,213,550,318,282,203,10,0,1,0,1,1,0,3
26244262,.2940513780484968,1.025256520386313,.3379979012335211,2.653456229024254,0,0,0,0,279,259,271,550,299,260,296,550,8,0,1,0,1,1,0,3
26245333,.6719419494727662,1.823862946013936,1.454086594389951,1.302922561795117,.15000001,0,0,.0089285718,232,328,282,242,266,374,292,283,9,0,0,0,0,0,0,1
26265268,.6493784721138094,.2496479025394258,.5082942687099536,1.317937682479301,0,0,0,0,244,550,550,550,265,550,550,550,4,0,1,0,1,0,1,2
26267994,.2372002167785451,3.720751871738206,.2306515501574022,1.850459199527769,.15315315,.06666667,0,.15151516,213,259,248,226,229,260,245,222,9,0,1,0,1,1,0,3
26269710,1.97182277526121,2.697092616436677,1.343039748695835,3.227370189060176,.15000001,.15000001,0,.15000001,231,235,270,218,218,226,334,201,9,0,1,0,0,1,0,3
26276917,1.079573838266172,.2403804158810119,.3890002300827202,13.41481098378572,0,.11428571,.05882353,0,253,550,550,550,270,550,550,550,0,0,1,0,0,0,0,1
26303418,.7512641989997434,.1060210075443274,2.087541972246131,.9108981812815539,0,.15000001,0,.15000001,244,235,248,212,265,226,245,211,9,0,1,0,1,1,0,3
26462050,1.877758682694515,.264423673554228,1.881071380133188,17.05831639112028,0,0,0,0,260,262,291,550,278,259,362,550,8,0,1,0,0,0,1,2
26512902,1.307057579547966,.1994322119275933,.4756190561412089,1.022881865829732,.16666667,.15384616,.15000001,.15625,550,550,550,550,550,550,550,550,-1,0,0,0,0,1,1,4
26555287,.7280371025280149,.8868069855788758,.988687085568401,.3394491466067199,.2,.15384616,.15000001,.15625,243,550,550,550,241,550,550,550,-1,0,0,0,0,1,1,4
26558616,.4724252063483417,.8577562745369047,.5817193705413353,.0804999967034353,.2,.15384616,.17142858,.15625,243,550,270,550,241,550,334,550,-1,0,0,0,0,1,0,3
26562865,.2667926587683455,.8353334664486111,.5693482634729978,.6654363554252583,0,0,0,0,550,550,550,550,550,550,550,550,6,0,0,0,0,0,0,1
26564030,.6145688273959604,.6197438886866908,.3212522423070266,.248048636502202,0,0,0,0,253,217,275,220,270,211,306,236,11,0,1,0,0,1,0,3
26564932,.9188811238465243,.4128855208650416,.6894030262806254,1.016228305600459,.15000001,0,0,0,244,550,550,550,265,550,550,550,0,0,1,0,0,0,0,1
26568224,1.766459545643451,2.914622616136748,10.69629656734264,.4176292706217701,.044444446,.06666667,0,.15217391,234,259,249,219,254,260,269,239,9,0,1,0,0,0,1,2
26570004,1.286810851060249,.6753531248300095,.9454542220023523,2.372571684767719,.16666667,.15384616,.15000001,.15714286,550,550,550,550,550,550,550,550,-1,0,1,0,0,0,1,2
26572507,.4238624729735514,.9922410485996481,.6182867395153832,.5522294820564209,0,0,0,0,550,219,260,550,550,213,256,550,3,0,1,0,0,0,0,1
